red=2291, ir=33991, green=548, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.418358
red=2302, ir=34007, green=571, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.434902
red=2296, ir=34002, green=558, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.448726
red=2297, ir=34007, green=575, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.463792
red=2285, ir=33987, green=581, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.479606
red=2307, ir=33997, green=575, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.495265
red=2295, ir=33993, green=563, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.510377
red=2298, ir=33998, green=570, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.525888
red=2309, ir=33995, green=564, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.541857
red=2314, ir=33992, green=573, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.558363
red=2297, ir=33991, green=567, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.573587
red=2291, ir=34005, green=572, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.589685
red=2292, ir=34007, green=572, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.605433
red=2306, ir=33998, green=571, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.621758
red=2299, ir=33987, green=560, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.637388
red=2299, ir=33995, green=571, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.652996
red=2295, ir=33998, green=571, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.668637
red=2282, ir=34004, green=563, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.683528
red=2298, ir=33995, green=585, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.698216
red=2299, ir=34007, green=579, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.713948
red=2304, ir=33999, green=576, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.729835
red=2305, ir=33999, green=576, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.746260
red=2291, ir=33996, green=570, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.762413
red=2299, ir=33995, green=568, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.778810
red=2299, ir=34004, green=565, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.793027
red=2312, ir=34010, green=565, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.807904
red=2305, ir=34017, green=576, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.823577
red=2298, ir=33997, green=562, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.838923
red=2295, ir=34014, green=583, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.853598
red=2295, ir=34001, green=571, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.869657
red=2282, ir=33991, green=581, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.885525
red=2286, ir=34013, green=574, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.900805
red=2288, ir=34003, green=569, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.915535
