red=121590, ir=128809, green=12592, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.770792
red=121635, ir=128882, green=12606, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.781878
red=121631, ir=128909, green=12631, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.792888
red=121656, ir=128947, green=12639, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.803507
red=121681, ir=128962, green=12663, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.813623
red=121696, ir=129017, green=12680, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.823976
red=121683, ir=129016, green=12697, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.834140
red=121691, ir=129053, green=12708, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.844503
red=121667, ir=129045, green=12721, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.854823
red=121701, ir=129068, green=12718, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.865638
red=121663, ir=129097, green=12735, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.876608
red=121696, ir=129112, green=12723, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.887682
red=121664, ir=129115, green=12747, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.898889
red=121681, ir=129161, green=12756, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.909087
red=121659, ir=129181, green=12736, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.920130
red=121680, ir=129189, green=12761, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.931010
red=121694, ir=129249, green=12768, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.941994
red=121707, ir=129267, green=12780, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.952909
red=121720, ir=129324, green=12790, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.963264
red=121742, ir=129375, green=12797, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.974286
red=121768, ir=129388, green=12828, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.984269
red=121771, ir=129428, green=12837, HR=82, HRvalid=1, SpO2=99, SO2Valid=1  time:4.004771
red=121779, ir=129451, green=12831, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.015306
red=121758, ir=129423, green=12837, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.026260
red=121747, ir=129342, green=12850, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.036733
red=121649, ir=129129, green=12776, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.047615
red=121562, ir=128879, green=12707, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.058598
red=121408, ir=128612, green=12607, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.069364
red=121298, ir=128308, green=12497, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.080228
red=121166, ir=128021, green=12352, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.090535
red=121069, ir=127804, green=12247, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.101554
red=121008, ir=127588, green=12132, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.112317
red=120929, ir=127443, green=12072, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.122724
red=120886, ir=127316, green=11988, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.133268
red=120860, ir=127260, green=11966, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.144069
red=120872, ir=127282, green=11938, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.154355
red=120886, ir=127325, green=11948, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.165230
red=120924, ir=127353, green=11954, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.175999
red=120943, ir=127426, green=11994, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.186926
red=121003, ir=127526, green=12000, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.197269
red=121027, ir=127611, green=12060, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.208276
red=121088, ir=127694, green=12074, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.218681
red=121118, ir=127802, green=12115, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.229388
red=121187, ir=127886, green=12144, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.240308
red=121219, ir=127965, green=12170, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.251020
red=121240, ir=128042, green=12183, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.261547
red=121271, ir=128096, green=12237, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.272117
red=121322, ir=128185, green=12248, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.283362
red=121353, ir=128272, green=12287, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.293539
red=121362, ir=128299, green=12291, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.304429
red=121386, ir=128332, green=12321, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.314897
red=121403, ir=128345, green=12315, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.325633
red=121402, ir=128356, green=12322, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.335689
red=121400, ir=128344, green=12320, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.346147
red=121392, ir=128298, green=12301, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.356245
red=121380, ir=128304, green=12291, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.367362
red=121370, ir=128282, green=12286, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.377580
