ed=2713, ir=40752, green=720, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.397105

ed=2712, ir=40748, green=711, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.407846

ed=2721, ir=40764, green=702, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.418803

ed=2744, ir=40758, green=713, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.431582

ed=2722, ir=40742, green=724, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.441833

ed=2713, ir=40766, green=711, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.452672

ed=2705, ir=40746, green=715, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.463549

ed=2716, ir=40746, green=707, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.474696

ed=2725, ir=40760, green=725, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.485663

ed=2705, ir=40744, green=714, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.497230

ed=2718, ir=40756, green=718, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.539084

red=2717, ir=40735, green=715, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.550383

red=2709, ir=40743, green=713, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.560550

red=2709, ir=40739, green=716, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.572180

red=2712, ir=40767, green=712, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.582729

red=2721, ir=40752, green=715, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.593751

red=2714, ir=40753, green=723, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.605368

red=2714, ir=40743, green=719, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.616911

red=2722, ir=40746, green=717, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.627152

red=2718, ir=40754, green=713, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.638125

red=2710, ir=40750, green=721, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.649451

red=2721, ir=40774, green=702, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.659910

red=2719, ir=40760, green=710, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:3.671200

red=2711, ir=40747, green=710, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.671200

ed=2716, ir=40754, green=722, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.681933

ed=2726, ir=40754, green=715, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.693302

ed=2711, ir=40744, green=715, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.704027

ed=2722, ir=40761, green=702, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.715505

ed=2697, ir=40738, green=723, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.726455

ed=2716, ir=40759, green=720, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.737248

ed=2714, ir=40749, green=725, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.748349

ed=2719, ir=40755, green=710, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.759415

